Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Performance_Category,Study_Efficiency,Engagement_Score,Sleep_Study_Ratio,Support_Score,Academic_Readiness
17,68,1,1,0,8.0,70,1,1,2,1,1,1,2,4,0,0,0,1,Low,3.888888888888889,11.56,0.4444444444444444,1.0,0.5049999999999999
14,60,1,0,1,10.0,65,0,1,0,0,1,1,2,3,0,1,0,0,Low,4.333333333333333,8.4,0.6666666666666666,0.5,0.26
22,70,0,1,1,6.0,82,1,1,1,0,2,0,1,3,0,0,0,1,Low,3.5652173913043477,15.4,0.2608695652173913,0.5,0.5155
15,80,1,1,1,9.0,91,0,1,3,0,1,0,2,2,0,1,1,1,Medium,5.6875,12.0,0.5625,0.75,0.47650000000000003
12,75,1,2,1,7.0,58,1,1,3,0,1,1,2,4,0,1,0,0,Low,4.461538461538462,9.0,0.5384615384615384,1.0,0.4945
29,78,1,1,0,5.0,99,2,1,0,0,1,0,0,1,0,0,1,1,Medium,3.3,22.62,0.16666666666666666,0.75,0.696
19,99,1,2,0,6.0,84,1,1,1,0,2,0,1,3,0,0,0,0,High,4.2,18.81,0.3,1.0,0.5235
20,74,1,2,0,8.0,89,0,1,1,0,1,0,0,2,0,1,1,1,Low,4.238095238095238,14.8,0.38095238095238093,1.0,0.3935
11,78,2,1,1,8.0,100,2,1,1,0,1,0,1,3,0,0,1,0,Low,8.333333333333334,8.58,0.6666666666666666,1.0,0.7374999999999999
17,65,0,2,1,5.0,75,1,1,2,0,1,0,2,3,0,0,0,1,Low,4.166666666666667,11.05,0.2777777777777778,0.75,0.525
21,62,2,0,1,6.0,54,2,1,0,0,2,0,2,3,0,2,2,0,Low,2.4545454545454546,13.02,0.2727272727272727,0.75,0.516
13,91,0,1,0,6.0,90,1,1,1,0,1,0,0,2,1,0,1,1,Low,6.428571428571429,11.83,0.42857142857142855,0.5,0.5475
22,83,2,2,1,6.0,94,1,1,0,0,1,0,1,2,0,1,1,0,High,4.086956521739131,18.26,0.2608695652173913,1.25,0.526
16,90,1,1,0,4.0,58,1,1,1,0,1,0,1,3,0,0,1,1,Low,3.411764705882353,14.4,0.23529411764705882,0.75,0.4195
18,66,2,2,0,4.0,51,0,1,2,0,1,1,1,2,0,1,0,0,Low,2.6842105263157894,11.88,0.21052631578947367,1.25,0.279
16,83,0,1,0,6.0,57,1,1,0,0,0,0,2,4,1,0,0,1,Low,3.3529411764705883,13.28,0.35294117647058826,0.5,0.378
31,70,1,2,1,7.0,66,1,1,1,0,1,0,0,3,0,1,0,0,Medium,2.0625,21.7,0.21875,1.0,0.4515
20,69,1,1,1,8.0,96,1,1,2,1,2,0,2,3,0,0,0,0,Medium,4.571428571428571,13.8,0.38095238095238093,1.0,0.609
14,60,2,1,0,5.0,50,1,1,2,1,1,0,1,3,0,1,0,1,Low,3.3333333333333335,8.4,0.3333333333333333,1.25,0.425
25,65,2,1,0,5.0,90,1,1,2,1,1,0,2,3,0,1,1,1,Medium,3.4615384615384617,16.25,0.19230769230769232,1.25,0.585
13,72,0,1,0,6.0,93,0,1,1,0,1,0,0,3,0,0,0,0,Low,6.642857142857143,9.36,0.42857142857142855,0.5,0.40950000000000003
21,65,1,0,1,7.0,91,0,1,2,1,2,0,2,3,0,0,2,1,Low,4.136363636363637,13.65,0.3181818181818182,0.75,0.43900000000000006
8,99,1,1,0,9.0,54,0,1,2,0,1,0,1,5,0,2,0,1,Medium,6.0,7.92,1.0,0.75,0.29100000000000004
12,72,0,1,1,8.0,84,1,1,1,0,1,0,2,5,0,0,0,1,Low,6.461538461538462,8.64,0.6153846153846154,0.5,0.5235
21,65,0,1,1,6.0,98,0,1,1,1,2,0,0,4,0,0,0,0,Low,4.454545454545454,13.65,0.2727272727272727,0.75,0.4295
24,68,2,1,0,8.0,56,0,1,3,2,2,0,1,1,0,1,0,0,Medium,2.24,16.32,0.32,1.5,0.3365
21,84,1,1,1,6.0,52,0,1,1,1,2,0,1,2,1,1,2,1,Low,2.3636363636363638,17.64,0.2727272727272727,1.0,0.24550000000000002
19,63,0,2,0,7.0,94,1,1,1,1,1,1,2,3,0,0,1,0,Low,4.7,11.97,0.35,1.0,0.5635
18,94,1,2,1,7.0,82,1,1,3,1,1,1,0,2,1,1,0,0,High,4.315789473684211,16.92,0.3684210526315789,1.25,0.5905
11,98,1,1,1,9.0,82,0,1,1,1,1,1,2,3,0,2,2,0,Medium,6.833333333333333,10.78,0.75,1.0,0.3655
16,70,1,1,1,8.0,98,1,1,2,1,1,0,2,3,0,0,1,0,Low,5.764705882352941,11.2,0.47058823529411764,1.0,0.617
17,78,1,1,1,6.0,88,1,1,1,1,2,1,2,3,0,1,0,1,Medium,4.888888888888889,13.26,0.3333333333333333,1.0,0.5395
26,61,1,0,1,6.0,70,1,1,2,0,1,0,2,3,0,0,1,1,Low,2.5925925925925926,15.86,0.2222222222222222,0.5,0.5049999999999999
22,86,0,1,1,7.0,72,0,1,3,0,2,0,2,2,0,0,1,0,Medium,3.130434782608696,18.92,0.30434782608695654,0.5,0.40049999999999997
9,77,1,1,0,5.0,57,1,1,2,1,2,0,1,3,0,0,0,0,Low,5.7,6.93,0.5,1.0,0.453
22,71,0,1,1,7.0,65,0,1,1,1,0,0,2,4,0,1,1,0,Low,2.8260869565217392,15.62,0.30434782608695654,0.75,0.2975
18,68,2,1,0,7.0,72,1,1,0,1,1,0,1,3,0,1,0,0,Low,3.789473684210526,12.24,0.3684210526315789,1.25,0.43799999999999994
16,86,0,1,1,8.0,63,1,1,2,1,1,0,2,4,0,0,0,0,Medium,3.7058823529411766,13.76,0.47058823529411764,0.75,0.47700000000000004
24,77,2,1,0,8.0,96,1,1,0,1,1,0,1,3,0,0,0,1,Medium,3.84,18.48,0.32,1.25,0.534
26,67,1,2,1,7.0,51,0,1,2,2,2,1,1,4,1,2,2,1,Low,1.8888888888888888,17.42,0.25925925925925924,1.5,0.279
26,88,1,2,1,5.0,79,1,1,1,0,2,1,2,4,0,1,1,0,High,2.925925925925926,22.88,0.18518518518518517,1.0,0.5035000000000001
15,83,1,2,0,5.0,89,0,0,1,1,2,0,1,2,1,0,0,1,Low,5.5625,12.45,0.3125,1.0,0.3935
18,94,1,1,1,6.0,87,2,1,1,1,1,0,2,4,0,0,0,0,High,4.578947368421052,16.92,0.3157894736842105,1.0,0.6855
22,65,2,0,0,8.0,82,1,1,2,1,2,0,2,1,0,2,0,1,Low,3.5652173913043477,14.3,0.34782608695652173,1.0,0.5529999999999999
200,91,1,0,1,8.0,71,1,1,0,0,1,1,1,3,0,0,1,0,Medium,0.35323383084577115,182.0,0.03980099502487562,0.5,0.43399999999999994
17,87,1,1,0,7.0,96,1,1,1,2,1,0,0,5,0,2,0,1,High,5.333333333333333,14.79,0.3888888888888889,1.25,0.5715
19,65,1,1,1,10.0,66,0,1,0,0,1,0,2,3,0,0,1,0,Low,3.3,12.35,0.5,0.75,0.264
13,88,0,2,1,9.0,88,2,1,2,0,2,1,0,4,0,2,2,0,Medium,6.285714285714286,11.44,0.6428571428571429,0.75,0.727
13,78,1,2,1,9.0,96,2,1,2,0,1,0,1,3,0,1,1,0,Medium,6.857142857142857,10.14,0.6428571428571429,1.0,0.7589999999999999
25,98,0,2,1,8.0,56,1,0,0,1,2,1,1,3,0,2,0,0,High,2.1538461538461537,24.5,0.3076923076923077,0.75,0.374
28,66,1,1,1,8.0,97,1,1,0,1,1,0,1,2,0,0,0,0,Medium,3.3448275862068964,18.48,0.27586206896551724,1.0,0.538
20,86,1,1,1,8.0,89,1,1,1,0,1,0,0,3,0,2,0,0,Medium,4.238095238095238,17.2,0.38095238095238093,0.75,0.5435
26,75,0,2,1,4.0,81,2,1,3,1,2,1,2,2,0,0,1,0,High,3.0,19.5,0.14814814814814814,1.0,0.7365000000000002
22,98,1,2,0,5.0,69,0,0,1,0,2,0,0,4,0,0,1,1,Medium,3.0,21.56,0.21739130434782608,0.75,0.31349999999999995
16,73,1,1,0,7.0,95,1,1,1,0,1,0,0,4,0,1,0,0,Low,5.588235294117647,11.68,0.4117647058823529,0.75,0.5675
22,98,1,0,1,7.0,52,1,0,3,1,1,0,2,3,0,1,0,1,High,2.260869565217391,21.56,0.30434782608695654,0.5,0.4705
29,96,1,0,1,7.0,72,1,1,1,0,1,0,2,3,0,0,1,0,High,2.4,27.84,0.23333333333333334,0.5,0.4754999999999999
20,71,1,1,1,7.0,88,1,1,1,0,0,0,1,4,0,1,0,1,Low,4.190476190476191,14.2,0.3333333333333333,0.75,0.5395
29,92,0,1,0,4.0,91,1,1,2,1,1,0,0,1,0,2,0,1,High,3.033333333333333,26.68,0.13333333333333333,0.75,0.589
4,100,2,2,1,8.0,60,2,1,0,1,2,1,2,4,0,1,1,0,Medium,12.0,4.0,1.6,1.5,0.54
25,70,1,1,0,7.0,52,1,1,1,1,1,0,2,3,0,2,0,1,Low,2.0,17.5,0.2692307692307692,1.0,0.39549999999999996
21,77,0,1,1,7.0,90,1,1,4,1,1,1,1,3,0,2,1,0,Medium,4.090909090909091,16.17,0.3181818181818182,0.75,0.66
18,81,2,0,1,8.0,71,1,1,0,1,1,0,1,3,0,0,1,1,Low,3.736842105263158,14.58,0.42105263157894735,1.0,0.43399999999999994
21,72,1,1,1,5.0,57,1,1,1,2,1,0,1,5,1,1,1,0,Low,2.590909090909091,15.12,0.22727272727272727,1.25,0.4155
8,61,1,1,1,7.0,54,1,1,1,2,1,0,2,3,0,1,0,0,Low,6.0,4.88,0.7777777777777778,1.25,0.40349999999999997
19,69,1,2,1,7.0,82,2,1,1,0,1,0,0,2,0,0,0,0,Low,4.1,13.11,0.35,1.0,0.6655
22,71,2,1,0,6.0,79,2,1,1,0,0,0,2,3,0,0,0,0,Low,3.4347826086956523,15.62,0.2608695652173913,1.0,0.6535000000000001
29,78,2,2,1,4.0,93,0,1,5,1,2,0,1,3,0,1,0,0,High,3.1,22.62,0.13333333333333333,1.5,0.5595000000000001
17,67,1,1,1,5.0,52,2,1,2,1,1,1,0,3,0,0,2,1,Low,2.888888888888889,11.39,0.2777777777777778,1.0,0.583
15,95,1,1,0,7.0,93,1,1,2,0,1,0,2,4,0,1,1,0,High,5.8125,14.25,0.4375,0.75,0.597
17,88,1,2,1,7.0,94,0,1,0,1,1,0,1,3,0,0,0,0,Medium,5.222222222222222,14.96,0.3888888888888889,1.25,0.376
25,63,1,2,1,7.0,72,1,1,3,1,2,1,0,4,0,1,2,0,Medium,2.769230769230769,15.75,0.2692307692307692,1.25,0.5505
22,86,0,0,0,6.0,54,1,1,2,1,1,0,1,0,0,0,1,0,Low,2.347826086956522,18.92,0.2608695652173913,0.5,0.441
17,86,1,2,0,5.0,97,2,1,3,2,1,0,1,3,0,1,0,0,High,5.388888888888889,14.62,0.2777777777777778,1.5,0.8005
23,98,1,0,1,7.0,54,0,1,0,1,1,0,0,3,0,1,0,1,Medium,2.25,22.54,0.2916666666666667,0.75,0.21600000000000003
21,60,2,1,0,7.0,80,1,1,0,1,2,0,1,4,1,1,0,0,Low,3.6363636363636362,12.6,0.3181818181818182,1.25,0.4700000000000001
26,70,1,0,1,8.0,75,1,1,1,1,0,1,1,4,1,0,2,1,Low,2.7777777777777777,18.2,0.2962962962962963,0.75,0.48750000000000004
16,97,1,1,1,6.0,92,0,1,0,2,1,1,2,4,0,1,0,0,High,5.411764705882353,15.52,0.35294117647058826,1.25,0.36800000000000005
18,97,2,1,1,4.0,75,0,1,0,0,1,0,2,3,0,0,1,0,Medium,3.9473684210526314,17.46,0.21052631578947367,1.0,0.30000000000000004
18,89,2,1,1,4.0,73,1,1,3,2,1,1,2,2,0,1,0,1,High,3.8421052631578947,16.02,0.21052631578947367,1.5,0.5545
11,91,1,1,0,6.0,94,1,1,3,1,1,0,1,3,0,1,1,0,Medium,7.833333333333333,10.01,0.5,1.0,0.6385000000000001
22,64,0,1,0,7.0,98,0,0,1,1,1,0,0,3,0,0,0,0,Low,4.260869565217392,14.08,0.30434782608695654,0.5,0.4295
22,81,1,1,1,7.0,77,0,1,2,1,1,0,2,3,0,2,2,1,Medium,3.347826086956522,17.82,0.30434782608695654,1.0,0.38300000000000006
20,69,2,2,1,6.0,73,1,1,2,0,1,1,2,3,0,0,2,0,Low,3.4761904761904763,13.8,0.2857142857142857,1.25,0.5169999999999999
19,67,0,1,0,5.0,92,2,1,0,1,1,0,2,3,0,1,0,0,Low,4.6,12.73,0.25,0.75,0.668
12,92,1,1,0,4.0,92,2,1,2,1,2,0,1,3,1,0,1,0,Medium,7.076923076923077,11.04,0.3076923076923077,1.0,0.743
17,65,1,2,1,8.0,66,1,1,1,2,2,0,1,4,1,2,1,1,Low,3.6666666666666665,11.05,0.4444444444444444,1.5,0.4515
18,79,1,1,1,7.0,79,1,1,0,0,2,1,1,3,0,1,2,0,Low,4.157894736842105,14.22,0.3684210526315789,0.75,0.4660000000000001
15,98,2,1,0,6.0,58,2,1,0,0,2,0,2,3,0,1,0,0,Medium,3.625,14.7,0.375,1.0,0.532
19,67,1,1,0,5.0,82,2,1,1,0,0,1,0,3,0,0,0,0,Low,4.1,12.73,0.25,0.75,0.6655
22,99,1,0,1,6.0,92,0,1,3,1,1,0,0,4,0,2,1,0,High,4.0,21.78,0.2608695652173913,0.75,0.48050000000000004
31,100,1,1,0,7.0,59,1,1,2,2,2,0,2,5,0,2,1,0,High,1.84375,31.0,0.21875,1.25,0.461
21,82,1,2,1,7.0,66,2,1,3,0,1,0,2,3,1,1,0,1,Medium,3.0,17.22,0.3181818181818182,1.0,0.6765000000000001
22,67,1,1,1,7.0,72,2,1,3,0,2,0,2,2,0,2,1,1,Medium,3.130434782608696,14.74,0.30434782608695654,0.75,0.7004999999999999
20,73,2,1,1,9.0,92,1,1,2,1,2,0,2,3,0,1,0,0,Medium,4.380952380952381,14.6,0.42857142857142855,1.25,0.593
8,77,2,1,1,6.0,87,1,1,0,0,1,0,1,2,0,0,1,0,Low,9.666666666666666,6.16,0.6666666666666666,1.0,0.498
20,72,1,1,0,9.0,66,1,1,3,0,2,1,2,3,0,2,0,0,Medium,3.142857142857143,14.4,0.42857142857142855,0.75,0.5265
20,71,0,2,1,7.0,62,2,1,2,1,1,0,0,5,0,1,0,0,Low,2.9523809523809526,14.2,0.3333333333333333,1.0,0.623
35,99,2,2,1,7.0,85,0,1,2,1,2,1,1,2,0,2,0,1,High,2.361111111111111,34.65,0.19444444444444445,1.5,0.41500000000000004
19,66,1,1,0,8.0,74,1,1,1,2,1,0,1,3,0,0,0,1,Low,3.7,12.54,0.4,1.25,0.48349999999999993
22,89,2,2,1,6.0,80,1,1,1,2,2,0,2,3,0,0,0,1,High,3.4782608695652173,19.58,0.2608695652173913,1.75,0.5075000000000001
20,60,0,2,0,7.0,82,2,1,2,0,2,0,2,4,1,0,0,0,Low,3.9047619047619047,12.0,0.3333333333333333,0.75,0.703
13,84,1,1,0,5.0,78,1,1,1,0,2,0,2,2,0,0,0,0,Low,5.571428571428571,10.92,0.35714285714285715,0.75,0.49950000000000006
27,97,0,2,1,8.0,81,1,1,0,2,1,0,2,5,0,0,0,1,High,2.892857142857143,26.19,0.2857142857142857,1.25,0.4740000000000001
25,72,2,2,1,8.0,94,0,1,2,0,1,1,2,4,0,1,1,1,High,3.6153846153846154,18.0,0.3076923076923077,1.25,0.451
25,67,2,1,0,9.0,93,2,1,2,0,2,0,2,3,1,0,0,1,Medium,3.576923076923077,16.75,0.34615384615384615,1.0,0.747
15,86,1,1,1,7.0,57,1,1,1,1,1,0,0,3,0,1,0,0,Low,3.5625,12.9,0.4375,1.0,0.4155
28,89,0,2,1,9.0,79,2,1,0,0,1,1,2,1,0,1,1,1,High,2.7241379310344827,24.92,0.3103448275862069,0.75,0.6160000000000001
12,88,0,1,0,6.0,72,0,1,2,1,1,0,2,2,0,1,2,0,Low,5.538461538461538,10.56,0.46153846153846156,0.75,0.363
24,73,1,2,1,8.0,64,1,1,4,2,1,1,1,3,1,1,1,0,Medium,2.56,17.52,0.32,1.5,0.556
33,70,1,1,1,6.0,82,0,1,1,0,2,0,1,4,0,1,0,0,Medium,2.411764705882353,23.1,0.17647058823529413,0.75,0.3655
14,98,1,1,0,7.0,76,1,1,0,1,2,1,2,4,0,1,1,1,Medium,5.066666666666666,13.72,0.4666666666666667,1.0,0.45400000000000007
17,97,1,1,0,8.0,89,1,1,1,0,1,0,1,4,0,0,2,0,Medium,4.944444444444445,16.49,0.4444444444444444,0.75,0.5435
21,78,1,1,1,10.0,55,1,1,1,2,0,1,2,2,0,1,0,0,Medium,2.5,16.38,0.45454545454545453,1.25,0.4075
17,94,0,1,1,8.0,65,0,1,4,1,1,0,1,6,0,0,2,1,Medium,3.611111111111111,15.98,0.4444444444444444,0.75,0.41000000000000003
11,78,1,2,1,8.0,51,1,1,2,0,1,0,1,3,0,2,0,0,Low,4.25,8.58,0.6666666666666666,1.0,0.429
20,77,1,1,0,6.0,87,0,1,0,0,2,0,2,4,0,0,0,1,Low,4.142857142857143,15.4,0.2857142857142857,0.75,0.34800000000000003
14,66,2,0,0,7.0,96,1,1,3,0,2,0,0,3,0,0,0,0,Low,6.4,9.24,0.4666666666666667,0.75,0.6465000000000001
23,77,1,1,1,7.0,79,1,1,0,0,2,0,1,2,0,0,1,0,Low,3.2916666666666665,17.71,0.2916666666666667,0.75,0.4660000000000001
14,81,1,1,0,9.0,81,1,1,1,0,2,1,0,3,0,2,0,1,Low,5.4,11.34,0.6,0.75,0.5115000000000001
29,61,1,2,1,7.0,52,0,1,3,0,1,1,2,3,0,1,0,1,Medium,1.7333333333333334,17.69,0.23333333333333334,1.0,0.3205
15,78,2,2,0,9.0,75,0,1,1,0,1,0,0,1,0,0,0,0,Low,4.6875,11.7,0.5625,1.25,0.3375
18,91,0,1,1,5.0,76,1,1,1,1,1,0,1,3,0,0,0,1,Medium,4.0,16.38,0.2631578947368421,0.75,0.49150000000000005
25,87,1,0,0,9.0,52,2,1,1,0,2,1,2,2,0,0,0,0,Medium,2.0,21.75,0.34615384615384615,0.5,0.5455
13,85,2,1,0,6.0,89,1,1,0,2,1,1,1,1,1,0,0,0,Low,6.357142857142857,11.05,0.42857142857142855,1.5,0.506
300,96,1,1,0,8.0,64,2,1,2,1,2,0,1,0,0,1,0,0,High,0.21262458471760798,288.0,0.026578073089700997,1.0,0.631
28,61,1,2,0,6.0,86,2,1,1,0,1,1,0,3,1,2,2,0,Low,2.9655172413793105,17.08,0.20689655172413793,1.0,0.6815
10,82,1,0,0,8.0,70,1,1,3,0,2,0,2,1,1,2,0,1,Low,6.363636363636363,8.2,0.7272727272727273,0.5,0.5425
21,91,2,1,0,6.0,100,1,1,0,2,1,1,1,2,0,2,0,1,High,4.545454545454546,19.11,0.2727272727272727,1.5,0.55
22,82,1,1,0,9.0,61,1,1,2,0,1,0,0,2,1,0,0,1,Low,2.652173913043478,18.04,0.391304347826087,0.75,0.46900000000000003
25,73,1,2,0,8.0,53,2,0,0,0,2,1,0,5,0,2,0,1,Low,2.0384615384615383,18.25,0.3076923076923077,0.75,0.512
13,65,0,2,0,6.0,99,1,1,0,0,1,1,0,4,0,0,0,0,Low,7.071428571428571,8.45,0.42857142857142855,0.75,0.546
12,96,0,2,1,8.0,62,1,1,2,1,2,0,0,3,0,1,0,1,Medium,4.769230769230769,11.52,0.6153846153846154,1.0,0.47300000000000003
23,79,2,2,1,8.0,82,0,1,3,1,1,0,0,3,1,2,1,1,Medium,3.4166666666666665,18.17,0.3333333333333333,1.5,0.4405
22,95,1,2,1,6.0,69,1,1,1,0,1,0,2,3,0,1,0,1,High,3.0,20.9,0.2608695652173913,1.0,0.4634999999999999
22,83,1,2,1,5.0,82,1,1,2,0,2,0,2,3,0,2,0,1,High,3.5652173913043477,18.26,0.21739130434782608,1.0,0.5529999999999999
22,87,2,2,0,5.0,80,0,1,2,0,2,0,0,3,0,0,0,1,High,3.4782608695652173,19.14,0.21739130434782608,1.25,0.3950000000000001
16,92,1,2,1,5.0,85,0,1,1,0,1,0,1,2,0,0,1,0,Medium,5.0,14.72,0.29411764705882354,1.0,0.3775
21,86,0,1,1,5.0,51,1,1,2,0,2,0,2,2,0,0,1,1,Medium,2.3181818181818183,18.06,0.22727272727272727,0.5,0.429
22,76,1,1,1,8.0,92,1,1,1,0,2,0,1,4,0,0,0,1,Medium,4.0,16.72,0.34782608695652173,0.75,0.5555
16,81,1,1,1,8.0,74,1,1,3,1,1,0,2,2,0,2,0,1,Medium,4.352941176470588,12.96,0.47058823529411764,1.0,0.5585
31,92,1,1,1,4.0,76,1,1,2,1,2,0,2,4,1,0,2,0,High,2.375,28.52,0.125,1.0,0.529
23,75,0,2,0,6.0,71,0,1,0,1,1,0,1,2,0,1,0,0,Low,2.9583333333333335,17.25,0.25,1.0,0.284
13,76,1,2,0,5.0,99,0,1,2,1,1,1,2,4,0,0,0,1,Low,7.071428571428571,9.88,0.35714285714285715,1.25,0.47100000000000003
24,64,1,1,1,8.0,90,2,1,0,0,2,0,0,3,0,0,0,0,Low,3.6,15.36,0.32,0.75,0.66
14,97,1,1,1,6.0,66,1,1,2,1,1,0,0,3,1,1,0,1,Medium,4.4,13.58,0.4,1.0,0.48900000000000005
25,64,1,2,0,5.0,89,0,1,2,1,1,0,1,4,0,1,2,0,Low,3.423076923076923,16.0,0.19230769230769232,1.25,0.43100000000000005
27,86,1,1,0,7.0,72,0,1,1,1,2,0,2,4,0,0,2,0,Medium,2.5714285714285716,23.22,0.25,1.0,0.32549999999999996
15,77,1,1,1,8.0,94,0,1,0,2,2,0,2,3,0,1,1,0,Low,5.875,11.55,0.5,1.25,0.376
26,76,1,2,1,6.0,52,1,1,4,2,0,0,1,3,0,0,0,0,Medium,1.9259259259259258,19.76,0.2222222222222222,1.5,0.508
22,87,2,1,1,7.0,68,1,0,0,0,1,0,1,2,0,0,0,0,Medium,2.9565217391304346,19.14,0.30434782608695654,0.75,0.42200000000000004
25,63,2,1,1,6.0,71,1,1,1,1,0,1,2,3,0,0,0,0,Low,2.730769230769231,15.75,0.23076923076923078,1.25,0.4714999999999999
31,84,1,1,1,9.0,87,1,1,2,0,1,1,1,3,0,1,2,0,High,2.71875,26.04,0.28125,0.75,0.573
19,91,2,0,0,6.0,59,1,1,5,1,2,0,1,4,0,1,1,0,High,2.95,17.29,0.3,1.0,0.5735
15,93,2,1,0,6.0,64,1,1,2,1,2,0,2,4,0,2,0,0,High,4.0,13.95,0.375,1.25,0.48100000000000004
15,67,1,1,1,7.0,86,2,1,1,2,1,1,2,3,0,2,0,0,Low,5.375,10.05,0.4375,1.25,0.6815
15,96,1,1,0,7.0,54,2,0,3,1,2,0,0,2,0,0,0,0,Medium,3.375,14.4,0.4375,0.75,0.6285000000000001
20,86,2,0,0,8.0,60,1,1,1,1,1,0,1,4,1,1,2,1,Low,2.857142857142857,17.2,0.38095238095238093,1.0,0.4275
22,95,1,2,0,9.0,88,0,1,0,0,2,0,2,2,0,2,0,0,High,3.8260869565217392,20.9,0.391304347826087,1.0,0.35200000000000004
22,79,1,1,0,9.0,94,1,1,1,1,1,0,2,3,0,0,0,0,Medium,4.086956521739131,17.38,0.391304347826087,1.0,0.5635
25,82,1,1,0,6.0,86,1,0,3,0,2,0,2,3,0,0,0,1,Medium,3.3076923076923075,20.5,0.23076923076923078,0.5,0.6065
20,97,1,1,1,7.0,76,0,1,2,0,0,1,2,3,0,2,0,0,High,3.619047619047619,19.4,0.3333333333333333,0.75,0.37900000000000006
29,96,1,1,1,9.0,55,0,0,0,1,1,0,1,2,0,2,2,1,High,1.8333333333333333,27.84,0.3,0.75,0.22000000000000003
18,78,1,1,0,9.0,91,2,1,2,2,0,0,1,4,0,1,2,1,Medium,4.7894736842105265,14.04,0.47368421052631576,1.25,0.739
36,71,1,1,1,6.0,56,1,1,2,2,1,0,2,2,0,0,2,0,Medium,1.5135135135135136,25.56,0.16216216216216217,1.25,0.449
24,76,0,2,0,8.0,69,0,1,2,1,1,0,1,1,0,0,1,0,Low,2.76,18.24,0.32,1.0,0.351
15,76,2,2,0,8.0,53,1,1,1,0,1,0,1,4,0,1,0,0,Low,3.3125,11.4,0.5,1.25,0.39949999999999997
14,71,1,1,1,8.0,85,0,1,2,1,2,0,1,4,0,0,0,0,Low,5.666666666666667,9.94,0.5333333333333333,1.0,0.41500000000000004
23,71,0,0,1,9.0,75,0,1,1,0,1,0,0,2,0,1,0,0,Low,3.125,16.33,0.375,0.25,0.3375
19,94,0,1,1,5.0,95,1,1,3,0,0,0,2,2,0,0,1,0,Medium,4.75,17.86,0.25,0.5,0.6425000000000001
24,63,1,0,1,6.0,57,1,1,1,0,2,1,1,5,0,1,0,1,Low,2.28,15.12,0.24,0.5,0.4155
23,87,2,2,1,8.0,91,2,1,0,2,1,1,2,3,0,0,1,0,High,3.7916666666666665,20.01,0.3333333333333333,1.75,0.664
20,67,0,1,1,7.0,76,1,1,0,1,1,0,1,4,0,0,0,0,Low,3.619047619047619,13.4,0.3333333333333333,0.75,0.45400000000000007
