message,severity,attributes,tags,timestamp
2026-05-28 14:36:23.154675: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:467] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:23.379218605Z
W0000 00:00:1779978983.192468       1 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:23.379359345Z
2026-05-28 14:36:23.196609: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:23.379365478Z
"To enable the following instructions: AVX2 AVX512F AVX512_VNNI AVX512_BF16 AVX512_FP16 AVX_VNNI AMX_TILE AMX_INT8 AMX_BF16 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.",error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:23.379371381Z
/app/api_server.py:6: FutureWarning: ,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:26.796669840Z
,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:26.796683371Z
All support for the `google.generativeai` package has ended. It will no longer be receiving ,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:26.796691677Z
updates or bug fixes. Please switch to the `google.genai` package as soon as possible.,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:26.796698286Z
See README for more details:,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:26.796705461Z
,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:26.796713121Z
https://github.com/google-gemini/deprecated-generative-ai-python/blob/main/README.md,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:26.796719911Z
,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:26.796726500Z
  import google.generativeai as genai,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:26.796732352Z
Traceback (most recent call last):,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:28.409672927Z
"  File ""/app/api_server.py"", line 19, in <module>",error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:28.409680116Z
"    from google_ai_client import get_inference_components, vertex_predict",error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:28.409688080Z
ImportError: cannot import name 'get_inference_components' from 'google_ai_client' (/app/google_ai_client.py),error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:28.409692843Z
"2026-05-28 14:36:30.787097: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.",error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:30.788771732Z
"2026-05-28 14:36:30.788391: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.",error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:30.789826416Z
"2026-05-28 14:36:30.792251: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.",error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:30.793114665Z
2026-05-28 14:36:30.801379: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:467] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:30.804762277Z
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:30.821475496Z
E0000 00:00:1779978990.817181       1 cuda_dnn.cc:8579] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:30.821483471Z
E0000 00:00:1779978990.821717       1 cuda_blas.cc:1407] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:30.822503990Z
W0000 00:00:1779978990.834309       1 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:30.844594783Z
W0000 00:00:1779978990.834327       1 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:30.844599377Z
W0000 00:00:1779978990.834328       1 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:30.844603679Z
W0000 00:00:1779978990.834330       1 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:30.844607820Z
2026-05-28 14:36:30.837825: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:30.844611677Z
"To enable the following instructions: AVX2 AVX512F AVX512_VNNI AVX512_BF16 AVX512_FP16 AVX_VNNI AMX_TILE AMX_INT8 AMX_BF16 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.",error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:30.844616837Z
,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:33.995201588Z
/app/api_server.py:6: FutureWarning: ,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:33.995214129Z
  import google.generativeai as genai,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:33.995214520Z
,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:33.995222466Z
All support for the `google.generativeai` package has ended. It will no longer be receiving ,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:33.995229526Z
updates or bug fixes. Please switch to the `google.genai` package as soon as possible.,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:33.995236327Z
See README for more details:,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:33.995243326Z
,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:33.995249816Z
https://github.com/google-gemini/deprecated-generative-ai-python/blob/main/README.md,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:33.995256481Z
Traceback (most recent call last):,error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:35.496126427Z
"  File ""/app/api_server.py"", line 19, in <module>",error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:35.496130731Z
"    from google_ai_client import get_inference_components, vertex_predict",error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:35.496135256Z
ImportError: cannot import name 'get_inference_components' from 'google_ai_client' (/app/google_ai_client.py),error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:35.496139623Z
"2026-05-28 14:36:37.987029: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.",error,"{""level"":""error""}","{""project"":""0eed05d2-fde3-4cb9-bb42-53e21c4fbf35"",""environment"":""d0ddf1c2-b8e5-4716-a09d-aadeb1bbb3bd"",""service"":""e271ab98-84a6-487b-9560-2409f4cbfa58"",""deployment"":""ec83bef4-5c10-4db1-8206-eb2a4c5d343a"",""replica"":""eb52092d-25ab-4789-9909-4d692a6f304b""}",2026-05-28T14:36:37.987841671Z
